tweet_id,date_and_time,tweet
5.7676E+17,Sat Mar 14 15:02:15 +0000 2015,Five new running shoes that aim to go the extra mile http://lat.ms/1ELp3wU
5.76715E+17,Sat Mar 14 12:04:04 +0000 2015,Gym Rat: Disq class at Crunch is intense workout on pulley system http://lat.ms/1EKOFdr
5.76438E+17,Fri Mar 13 17:43:07 +0000 2015,Noshing through thousands of ideas at Natural Products Expo West http://lat.ms/1EHqywg
5.76438E+17,Fri Mar 13 17:43:06 +0000 2015,"Natural Products Expo also explores beauty, supplements and more http://lat.ms/1EHqyfE"
5.76413E+17,Fri Mar 13 16:02:36 +0000 2015,Free Fitness Weekends in South Bay beach cities aim to spark activity http://lat.ms/1EH3SMC
5.76394E+17,Fri Mar 13 14:47:15 +0000 2015,"For Kayla Harrison, sacrifices paid off with judo gold http://lat.ms/1EGNyve"
5.76162E+17,Thu Mar 12 23:25:46 +0000 2015,Sonic waves a treatment for Alzheimer's Disease? http://lat.ms/1FbQ2kk
5.76162E+17,Thu Mar 12 23:23:13 +0000 2015,An ultrasound for the brain restores memory in Alzheimer's w/o so much as a needle. But only--so far--in mice.
5.75737E+17,Wed Mar 11 19:15:17 +0000 2015,Is Apple's new ResearchKit really a boon for medical research? http://lat.ms/1b0E0Pi
5.75689E+17,Wed Mar 11 16:05:44 +0000 2015,"Warning to Chantix users: If you drink while taking this drug, you might not remember it the next day. http://lat.ms/1KSN5Kh"
5.7546E+17,Wed Mar 11 00:55:15 +0000 2015,"Some Chantix users had memory problems after drinking a modest amount of alcohol, @US_FDA says http://lat.ms/1KSN5Kh"
5.75426E+17,Tue Mar 10 22:40:21 +0000 2015,"Guanine isn't just an ingredient in DNA. In nanocrystal form, it allows chameleons to change colors. @NatureComms http://lat.ms/1wr2qv0"
5.7542E+17,Tue Mar 10 22:15:35 +0000 2015,The @US_FDA has documented 64 cases of Chantix users having seizures after using the smoking cessation drug http://lat.ms/1KSN5Kh
5.75405E+17,Tue Mar 10 21:15:25 +0000 2015,"Drinking while taking Chantix may make people more inebriated and aggressive than usual, @US_FDA warns http://lat.ms/1KSN5Kh"
5.754E+17,Tue Mar 10 20:57:41 +0000 2015,The @US_FDA warns Chantix users that the smoking-cessation drug could cause seizures and make drinking problematic http://lat.ms/1KSN5Kh
5.75372E+17,Tue Mar 10 19:05:47 +0000 2015,Loving a kid is good for his self-esteem; thinking he is better than other kids can make him narcissistic http://lat.ms/1AbI1X4
5.75328E+17,Tue Mar 10 16:10:45 +0000 2015,"Parents can create narcissistic tendencies in their children. Here's how, via @PNASNews http://lat.ms/1AbI1X4"
5.75096E+17,Tue Mar 10 00:50:05 +0000 2015,"Sadly ... it has been a missed chance, one @WHO official says of testing Ebola drugs http://lat.ms/1wm7sZx"
5.75056E+17,Mon Mar 09 22:10:27 +0000 2015,Warning: The Monday after daylight saving time starts is most hazardous to your health. Here's why: http://lat.ms/1BqdRlG
5.75054E+17,Mon Mar 09 22:01:50 +0000 2015,One company has canceled plans to test its Ebola drug because there aren't Ebola patients left. Others may follow http://lat.ms/1wm7sZx
5.75053E+17,Mon Mar 09 21:58:20 +0000 2015,"People are not just born narcissists. Their parents raise them that way, @OhioState's @BradJBushman says. http://lat.ms/1AbI1X4"
5.75052E+17,Mon Mar 09 21:55:22 +0000 2015,"It's hard to complain about lack of Ebola patients, but one upshot is that scientists can't test possible drugs http://lat.ms/1wm7sZx"
