tweet_id,date_and_time,tweet
2.20146E+17,Tue Jul 03 13:25:36 +0000 2012,Heavy Coffee Intake May Affect Fertility Treatments: Study:  http://on-msn.com/P5E3ge
2.20146E+17,Tue Jul 03 13:25:36 +0000 2012,"Summer Is Peak Time for Teens to Try Drugs, Alcohol: Report:  http://on-msn.com/O01Nw2"
2.20146E+17,Tue Jul 03 13:25:36 +0000 2012,Some Crash-Avoidance Systems May Work Better Than Others:  http://on-msn.com/O01O3l
2.20146E+17,Tue Jul 03 13:25:36 +0000 2012,More Genes Linked to Osteoarthritis Identified:  http://on-msn.com/O01NfM
2.19892E+17,Mon Jul 02 20:35:06 +0000 2012,No Health Risk When Jehovah's Witnesses Refuse Blood: Study:  http://on-msn.com/NXt7v8
2.19892E+17,Mon Jul 02 20:35:06 +0000 2012,Dangerous Rage May Be Common Among U.S. Teens:  http://on-msn.com/NXt7v4
2.19892E+17,Mon Jul 02 20:35:05 +0000 2012,Botox May Ease Tremors in Multiple Sclerosis Patients:  http://on-msn.com/NXt8z1
2.19892E+17,Mon Jul 02 20:35:05 +0000 2012,More Than 1 in 4 Teens Have 'Sexted': Study:  http://on-msn.com/NXt8yZ
2.19892E+17,Mon Jul 02 20:35:05 +0000 2012,Medicare Coverage Gap May Cause Seniors to Forgo Antidepressants:  http://on-msn.com/P1D3tz
2.1986E+17,Mon Jul 02 18:28:44 +0000 2012,Gel Shows Promise as Future Male Contraceptive:  http://on-msn.com/NeSut8
2.1986E+17,Mon Jul 02 18:28:44 +0000 2012,"It's Not So Much the Heat, It's the Lack of Power:  http://on-msn.com/NeSut6"
2.1986E+17,Mon Jul 02 18:28:44 +0000 2012,5 Million 'Test Tube' Babies Born to Date:  http://on-msn.com/NeSut2
2.19852E+17,Mon Jul 02 17:57:27 +0000 2012,Poor Sleep Affects Immune System Much Like Physical Stress:  http://on-msn.com/OdGOcK
2.19788E+17,Mon Jul 02 13:43:45 +0000 2012,Chronic Pain May Depend on Emotional Reaction to Injury:  http://on-msn.com/OZdyZL
2.19788E+17,Mon Jul 02 13:43:44 +0000 2012,Coffee May Cut Your Risk for Common Form of Skin Cancer:  http://on-msn.com/NVX26I
2.19788E+17,Mon Jul 02 13:43:44 +0000 2012,Kids Born Even a Little Early Have Lower School Scores: Study:  http://on-msn.com/OZdyJv
2.19788E+17,Mon Jul 02 13:43:44 +0000 2012,Spanking Batters Kids' Mental Health: Study:  http://on-msn.com/OZdB81
2.19788E+17,Mon Jul 02 13:43:44 +0000 2012,"'Virtual' Colonoscopy Safe, Effective for Medicare Patients: Study:  http://on-msn.com/OZdyJr"
2.19422E+17,Sun Jul 01 13:26:17 +0000 2012,Maintain Heart Health During Summer:  http://on-msn.com/MjswZ7
2.19063E+17,Sat Jun 30 13:39:55 +0000 2012,Use Caution When Exercising in Hot Weather:  http://on-msn.com/O2ep9v
2.18833E+17,Fri Jun 29 22:27:36 +0000 2012,"Young Athletes Face Unhealthy Food Choices, Parents Say:  http://on-msn.com/OL6zUn"
2.18809E+17,Fri Jun 29 20:53:22 +0000 2012,Shorter Arms May Explain Why Women Need Glasses Sooner Than Men:  http://on-msn.com/NLTow6
